survey_code,survey_period,mps,go_live,ref_period_start,ref_period_end,return_by,reminder,reminder2,reminder3,employment,exercise_end
009,201804,160418,250418,010418,300418,070518,090518,,,,300620
009,201805,140518,240518,010518,310518,070618,120618,,,,310720
009,201806,190618,250618,010618,300618,070718,100718,,,150618,310820
009,201807,200718,250718,010718,310718,070818,090818,,,,300920
009,201808,170818,240818,010818,310818,070918,110918,,,,311020
009,201809,190918,240918,010918,300918,071018,091018,,,140918,301120
009,201810,191018,251018,011018,311018,071118,131118,,,,311220
009,201811,211118,261118,011118,301118,071218,111218,,,,310121
009,201812,121218,131218,011218,311218,070119,080119,,,141218,280221
023,201804,190418,240418,010418,280418,050518,080518,,,,310520
023,201805,170518,220518,290418,260518,020618,040618,,,,300620
023,201806,210618,260618,270518,300618,070718,090718,,,150618,310720
023,201807,190718,240718,010718,280718,040818,060818,,,,310820
023,201808,160818,210818,290718,250818,010918,030918,,,,300920
023,201809,200918,250918,260818,290918,061018,081018,,,140918,311020
023,201810,181018,231018,300918,271018,031118,051118,,,,301120
023,201811,151118,201118,281018,241118,011218,031218,,,,311220
023,201812,071218,141218,251118,291218,050119,070119,,,141218,310121
062,201712,130418,190418,010117,311217,010618,070618,050718,,,300620
063,201712,130418,190418,010117,311217,010618,070618,050718,,,300620
064,201803,190318,260318,010118,310318,170418,190418,090518,,,310520
064,201806,150618,210618,010418,300618,170718,190718,080818,,,310820
064,201809,140918,200918,010718,300918,161018,181018,071118,,,301120
064,201812,071218,141218,011018,311218,150119,170119,060219,,,280221
065,201803,190318,260318,010118,310318,170418,190418,090518,,,310520
065,201806,150618,210618,010418,300618,170718,190718,080818,,,310820
065,201809,140918,200918,010718,300918,161018,181018,071118,,,301120
065,201812,071218,141218,011018,311218,150119,170119,060219,,,280221
066,201803,150318,200318,010118,310318,060418,170418,300418,,,310520
066,201806,140618,190618,010418,300618,060718,170718,300718,,,310820
066,201809,130918,180918,010718,300918,051018,161018,291018,,,301120
066,201812,071218,131218,011018,311218,040119,150119,280119,,,280221
073,201801,160118,210118,010118,280117,090218,,,,,280220
073,201802,160218,210218,010218,280217,090318,,,,,310320
073,201803,160318,210318,010318,310318,090418,,,,,300420
073,201804,180418,230418,010418,300418,080518,,,,,310520
073,201805,170518,220518,010518,310518,080618,,,,,300620
073,201806,150618,210618,010618,300618,090718,,,,,310720
073,201807,180718,230718,010718,310718,080818,,,,,310820
073,201808,160818,210818,010818,310818,100918,,,,,300920
073,201809,180918,240918,010918,300918,091018,,,,,311020
073,201810,171018,221018,011018,311018,091118,,,,,301120
073,201811,161118,221118,011118,301118,101218,,,,,311220
073,201812,071218,141218,011218,311218,090119,,,,,310121
074,201801,160118,210118,010118,280118,090218,,,,,280220
074,201802,160218,210218,010218,280218,090318,,,,,310320
074,201803,160318,210318,010318,310318,090418,,,,,300420
074,201804,180418,230418,010418,300418,080518,,,,,310520
074,201805,170518,220518,010518,310518,080618,,,,,300620
074,201806,150618,210618,010618,300618,090718,,,,,310720
074,201807,180718,230718,010718,310718,080818,,,,,310820
074,201808,160818,210818,010818,310818,100918,,,,,300920
074,201809,180918,240918,010918,300918,091018,,,,,311020
074,201810,171018,221018,011018,311018,091118,,,,,301120
074,201811,161118,221118,011118,301118,101218,,,,,311220
074,201812,071218,141218,011218,311218,090119,,,,,310121
134,201802,160218,220218,010218,280218,070318,130318,,,,300420
134,201803,210318,260318,010318,310318,090418,110418,,,,310520
134,201804,200418,260418,010418,300418,080518,140518,,,,300620
134,201805,180518,240518,010518,310518,080618,120618,,,,310720
134,201806,210618,260618,010618,300618,090718,120718,,,,310820
134,201807,200718,260718,010718,310718,080818,130818,,,,300920
134,201808,170818,240818,010818,310818,070918,120918,,,,311020
134,201809,190918,250918,010918,300918,081018,111018,,,,301120
134,201810,191018,251018,011018,311018,081118,141118,,,,311220
134,201811,211118,261118,011118,301118,071218,111218,,,,310121
134,201812,121218,171218,011218,311218,080119,140119,,,,280221
137,201802,220218,010318,,,080318,,,,,310320
137,201803,270318,030418,,,100418,,,,,300420
137,201804,250418,010518,,,080518,,,,,310520
137,201805,250518,010618,,,080618,,,,,300620
137,201806,260618,020718,,,090718,,,,,310720
137,201807,250718,010818,,,080818,,,,,310820
137,201808,240818,030918,,,100918,,,,,300920
137,201809,250918,011018,,,081018,,,,,311020
137,201810,251018,011118,,,081118,,,,,301120
137,201811,231118,031218,,,101218,,,,,311220
137,201812,271218,020119,,,090119,,,,,310121
139,1803,140318,190318,090318,310318,270318,030418,230418,050518,090318,300420
139,1806,130618,180618,150618,300618,270618,030718,230718,060818,150618,310720
139,1809,120918,170918,140918,300918,280918,021018,121018,051118,140918,301020
139,1812,061218,111218,141218,311218,211218,030119,,,141218,310121
141,201803,110418,160418,,,180518,220518,050618,260618,,310521
199,201712,130318,190318,,,030418,030518,,,,300918
225,201812,030518,080518,,,110618,120618,030718,,,310720
